Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,CV Mean F1,CV F1 Std,Training Time Seconds
Support Vector Machine,0.9844938560561732,0.9767621998450813,0.9820872274143302,0.9794174757281553,0.9984814178980284,0.9719657810739841,0.005255540674078602,1.1670832633972168
Logistic Regression,0.981275599765945,0.9685099846390169,0.9820872274143302,0.9752513534416086,0.9974391034343824,0.968540205663642,0.006622432463342961,0.8377702236175537
Random Forest,0.9739613809245172,0.9557589626239512,0.9758566978193146,0.9657032755298651,0.9966104707349047,0.9577525276723385,0.0056024000998401245,44.14914917945862
XGBoost,0.9613809245172615,0.9216691068814056,0.9805295950155763,0.950188679245283,0.9947225531157027,0.9427028858882973,0.006451460801931176,414.0718183517456
Decision Tree,0.9192510239906378,0.85,0.9532710280373832,0.8986784140969163,0.9506508261145028,0.8779628513904022,0.00772655203694131,11.798795700073242
