Model,Accuracy,Balanced Accuracy,Precision,Recall,F1 Score,ROC AUC,CV Mean F1,CV F1 Std,Training Time Seconds
XGBoost,0.9504771306350773,0.9654335836218395,0.9990927236436219,0.9489831092726646,0.9733934411738707,0.9894704599613326,0.964505974932902,0.0030506634629028466,0.978316068649292
Decision Tree,0.9480092135570911,0.957239257827136,0.9983648255813954,0.947087211306446,0.9720502388112506,0.9694071009996553,0.9498982791600847,0.011350915332377486,0.07058119773864746
Support Vector Machine,0.9211911813096413,0.9569957136219894,0.9998122065727699,0.917614615649776,0.9569515592702436,0.9866362923329786,0.9483510951173969,0.007695724407119752,0.11181211471557617
Random Forest,0.941428101349128,0.9555175876384455,0.9985353350421091,0.9400206825232679,0.9683948863636364,0.9864239717438763,0.9583692567614801,0.0021149781854918072,3.1670033931732178
Logistic Regression,0.8927278710102007,0.942087061433089,0.999805900621118,0.8877973112719751,0.9404783640679204,0.9789833840404858,0.9244250439704238,0.009735860375281876,0.11452746391296387
